City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,282.96,57,40,14.4,AR,1707342750
1,port-aux-francais,-49.35,70.2167,277.85,77,94,11.84,TF,1707342979
2,grytviken,-54.2811,-36.5092,283.86,65,100,6.44,GS,1707342979
3,taoudenni,22.6783,-3.9836,293.15,13,2,4.56,ML,1707342979
4,morehead city,34.7229,-76.726,284.17,68,0,7.2,US,1707342979
5,uturoa,-16.7333,-151.4333,301.37,87,45,14.13,PF,1707342979
6,ola,59.5833,151.2833,247.52,90,28,3.24,RU,1707342907
7,waitangi,-43.9535,-176.5597,291.94,91,83,2.36,NZ,1707342979
8,edinburgh of the seven seas,-37.0676,-12.3116,290.62,65,55,1.55,SH,1707342980
9,christchurch,-43.5333,172.6333,290.9,92,100,6.17,NZ,1707342980
10,qaqortoq,60.7167,-46.0333,264.9,74,100,2.01,GL,1707342980
11,hithadhoo,-0.6,73.0833,300.86,74,12,3.2,MV,1707342980
12,colonia,50.9333,6.95,277.92,90,75,1.54,DE,1707342728
13,albany,42.6001,-73.9662,276.78,78,77,0.91,US,1707342884
14,susuman,62.7833,148.1667,239.81,100,98,0.89,RU,1707342980
15,zhezqazghan,47.7833,67.7667,266.68,91,89,8.59,KZ,1707342980
16,barcelos,41.5388,-8.6151,289.23,90,100,5.88,PT,1707342980
17,bom jesus do itabapoana,-21.1339,-41.6797,297.49,93,100,1.65,BR,1707342980
18,bizhbulyak,53.6967,54.2642,260.4,95,100,6.64,RU,1707342981
19,kerikeri,-35.2268,173.9474,295.88,81,4,1.59,NZ,1707342981
20,arraial do cabo,-22.9661,-42.0278,302.07,74,20,5.66,BR,1707342981
21,norilsk,69.3535,88.2027,249.17,94,46,2.09,RU,1707342981
22,cannonvale,-20.2833,148.7,301.81,62,100,7.6,AU,1707342981
23,papatowai,-46.5619,169.4708,288.21,58,35,7.8,NZ,1707342981
24,mao,39.8885,4.2658,283.46,100,0,2.06,ES,1707342838
25,whitehorse,60.7161,-135.0538,256.58,85,20,1.03,CA,1707342981
26,hadibu,12.65,54.0333,298.07,68,100,5.07,YE,1707342982
27,ust-nera,64.5667,143.2,243.21,100,100,0.84,RU,1707342982
28,west island,-12.1568,96.8225,299.14,94,40,0.0,CC,1707342982
29,atafu village,-8.5421,-172.5159,301.37,81,100,7.88,TK,1707342982
30,villamontes,-21.25,-63.5,309.84,39,75,2.06,BO,1707342982
31,litayan,7.3358,124.0347,298.95,83,97,3.33,PH,1707342982
32,praia,14.9215,-23.5087,298.45,53,0,6.69,CV,1707342982
33,georgetown,5.4112,100.3354,300.11,98,20,1.54,MY,1707342982
34,hammerfest,70.6634,23.6821,263.4,67,0,5.14,NO,1707342982
35,tsiombe,-25.3,45.4833,294.58,89,11,2.25,MG,1707342983
36,blackmans bay,-43.0167,147.3167,289.55,76,87,1.18,AU,1707342983
37,icano,-28.9193,-65.3282,308.56,31,100,5.36,AR,1707342983
38,olonkinbyen,70.9221,-8.7187,269.66,70,90,8.37,SJ,1707342983
39,invercargill,-46.4,168.35,288.72,66,46,8.49,NZ,1707342983
40,kencong,-8.2833,113.3667,297.06,93,55,1.33,ID,1707342983
41,badger,64.8,-147.5333,264.66,78,75,1.54,US,1707342983
42,bethel,41.3712,-73.414,279.82,47,39,1.35,US,1707342983
43,inhambane,-23.865,35.3833,298.09,77,1,3.46,MZ,1707342983
44,st. john's,47.5649,-52.7093,271.92,86,100,11.18,CA,1707342861
45,levuka,50.1834,-105.4011,273.05,98,100,4.81,CA,1707342983
46,bredasdorp,-34.5322,20.0403,291.93,78,4,4.77,ZA,1707342984
47,sangmelima,2.9333,11.9833,295.02,38,37,0.89,CM,1707342984
48,kiunga,-6.1219,141.2906,296.08,95,100,0.94,PG,1707342984
49,iqaluit,63.7506,-68.5145,253.0,65,75,3.09,CA,1707342984
50,margaret river,-33.95,115.0667,290.75,49,0,2.46,AU,1707342984
51,lihue,21.9789,-159.3672,299.73,67,20,6.69,US,1707342984
52,rupert,42.6191,-113.6772,278.12,65,100,8.23,US,1707342730
53,kruisfontein,-34.0033,24.7314,292.53,76,15,4.97,ZA,1707342984
54,at taj,24.2049,23.2857,285.57,37,0,3.35,LY,1707342984
55,yuzhno-kurilsk,44.0306,145.8556,264.47,86,39,1.54,RU,1707342985
56,laojunmiao,39.8333,97.7333,264.4,56,59,1.15,CN,1707342985
57,nema,57.5067,50.5011,254.75,100,95,1.92,RU,1707342985
58,tazovsky,67.4667,78.7,260.57,96,100,4.84,RU,1707342985
59,san felipe,10.3399,-68.7425,297.44,96,75,3.05,VE,1707342985
60,siwa oasis,29.2041,25.5195,287.99,49,0,1.93,EG,1707342985
61,wynyard,-41.0,145.7167,289.2,73,77,3.55,AU,1707342985
62,puerto natales,-51.7236,-72.4875,287.4,47,75,15.95,CL,1707342985
63,puerto ayora,-0.7393,-90.3518,303.13,95,79,2.24,EC,1707342985
